"det_id15","strasse","richtung","position","spur","lon_wgs84","lat_wgs84"
"100101010012800","Am Treptower Park","Südost","zwischen Karpfenteichstraße und Klingerstraße, in Höhe Haus Nr. 52","HF_3vR","13.469079","52.483990"
"100101010012901","Am Treptower Park","Südost","zwischen Karpfenteichstraße und Klingerstraße, in Höhe Haus Nr. 52","HF_R","13.469032","52.483962"
"100101010028661","Antonienstraße","Süd","zwischen Wackerweg und Auguste-Viktoria-Allee in Höhe Haus Nr. 25","HF_R","13.312467","52.573074"
"100101010028762","Antonienstraße","Süd","zwischen Wackerweg und Auguste-Viktoria-Allee in Höhe Haus Nr. 25","HF_2vR","13.312467","52.573074"
"100101010033311","Bahnhofstraße","Südwest","zwischen Kinzerallee und Annenallee, Höhe Nr. 56, ca. 20 m vor Annenallee","HF_R","13.575724","52.454123"
"100101010033412","Bahnhofstraße","Südwest","zwischen Kinzerallee und Annenallee, Höhe Nr. 56, ca. 20 m vor Annenallee","HF_2vR","13.575724","52.454123"
"100101010033513","Bahnhofstraße","Nord","zwischen Annenallee und Kinzerallee, Höhe Nr. 4, ca. 20 m vor Kinzerallee","HF_R","13.575866","52.454167"
"100101010033614","Bahnhofstraße","Nord","zwischen Annenallee und Kinzerallee, Höhe Nr. 4, ca. 20 m vor Kinzerallee","HF_2vR","13.575866","52.454167"
"100101010054731","Baumschulenstraße","Südwest","zwischen Sonnenallee und Königsheideweg,  LM 298 – 1. LM nach Kanalbrücke","HF_R","13.478634","52.458654"
"100101010054832","Baumschulenstraße","Nordost","zwischen Königsheideweg und Sonnenallee, LM 298 – 1. LM nach Kanalbrücke","HF_R","13.478579","52.458542"
"100101010001076","Berliner Straße","West","zwischen Seehofstraße und Gartenstraße, in Höhe Haus Nr. 10 (gegenüber)","HF_R","13.263106","52.435112"
"100101010001177","Berliner Straße","West","zwischen Seehofstraße und Gartenstraße, in Höhe Haus Nr. 10 (gegenüber)","HF_2vR","13.263106","52.435112"
"100101010009261","Berliner Straße","Süd","zwischen Esplanade und Bornholmer Straße, in Höhe Haus Nr. 74","HF_R","13.414413","52.555087"
"100101010009362","Berliner Straße","Süd","zwischen Esplanade und Bornholmer Straße, in Höhe Haus Nr. 74","HF_2vR","13.414413","52.555087"
"100101010039371","Beusselstraße","Süd","zwischen Ludwig-Hoffmann-Brücke und Beusselbrücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_R","13.327092","52.536073"
"100101010039472","Beusselstraße","Süd","zwischen Ludwig-Hoffmann-Brücke und Beusselbrücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_2vR","13.327092","52.536073"
"100101010039573","Beusselstraße","Süd","zwischen Ludwig-Hoffmann-Brücke und Beusselbrücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_3vR","13.327092","52.536073"
"100101010039674","Beusselstraße","Nord","zwischen Beusselbrück und Ludwig-Hoffmann-Brücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_R","13.327478","52.536088"
"100101010039775","Beusselstraße","Nord","zwischen Beusselbrück und Ludwig-Hoffmann-Brücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_2vR","13.327478","52.536088"
"100101010039876","Beusselstraße","Nord","zwischen Beusselbrück und Ludwig-Hoffmann-Brücke, in Höhe Nr. 44n-o, zwischen LM 56 und 60","HF_3vR","13.327478","52.536088"
"100101010019466","Blankenburger Straße","Süd","zwischen Grabenwinkel und Straße 30, in Höhe Haus Nr. 100","HF_R","13.443023","52.571017"
"100101010019567","Blankenburger Straße","Nord","zwischen Straße 30 und Grabenwinkel, in Höhe Haus Nr. 100","HF_R","13.443013","52.570932"
"100101010074636","Blücherstraße","Ost","zwischen Mehringdamm und Zossener Straße","HF_R","13.391987","52.495836"
"100101010074737","Blücherstraße","Ost","zwischen Mehringdamm und Zossener Straße","HF_2vR","13.391987","52.495836"
"100101010074838","Blücherstraße","West","zwischen Zossener Straße und Mehringdamm","HF","13.392562","52.496289"
"100101010074939","Blücherstraße","West","zwischen Zossener Straße und Mehringdamm","HF_2vR","13.392562","52.496289"
"100101010035634","Blumberger Damm","Süd","zwischen Kienbergstraße und Geissenweide, in Höhe Haus Nr. 63","HF_R","13.567597","52.536625"
"100101010035735","Blumberger Damm","Süd","zwischen Kienbergstraße und Geissenweide, in Höhe Haus Nr. 63","HF_2vR","13.567597","52.536625"
"100101010096460","Boelckestraße","Süd","zwischen Hessenring und Hoeppnerstraße","HF_R","13.377712","52.473886"
"100101010096561","Boelckestraße","Süd","zwischen Hessenring und Hoeppnerstraße","HF_2vR","13.377712","52.473886"
"100101010096662","Boelckestraße","Nord","zwischen Hoeppnerstraße und Eschwegring","HF_R","13.378026","52.473530"
